starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:44 2021	1614355064	1	124	125	124
Fri Feb 26 15:57:44 2021	1614355064	1	130	131	130
Fri Feb 26 15:57:44 2021	1614355064	1	152	153	152
Fri Feb 26 15:57:44 2021	1614355064	1	162	163	162
Fri Feb 26 15:57:44 2021	1614355064	1	185	186	185
Fri Feb 26 15:57:44 2021	1614355064	1	186	187	186
Fri Feb 26 15:57:44 2021	1614355064	1	190	191	190
Fri Feb 26 15:57:44 2021	1614355064	1	223	224	223
Fri Feb 26 15:57:44 2021	1614355064	1	236	237	236
Fri Feb 26 15:57:44 2021	1614355064	1	240	241	240
Fri Feb 26 15:57:44 2021	1614355064	1	278	279	278
Fri Feb 26 15:57:44 2021	1614355064	1	294	295	294
Fri Feb 26 15:57:44 2021	1614355064	1	299	300	298
Fri Feb 26 15:57:44 2021	1614355064	1	315	316	314
Fri Feb 26 15:57:44 2021	1614355064	1	338	339	338
Fri Feb 26 15:57:44 2021	1614355064	1	340	341	340
Fri Feb 26 15:57:44 2021	1614355064	1	343	344	343
Fri Feb 26 15:57:44 2021	1614355064	1	369	370	369
Fri Feb 26 15:57:44 2021	1614355064	1	402	403	402
Fri Feb 26 15:57:44 2021	1614355064	1	408	409	408
Fri Feb 26 15:57:44 2021	1614355064	1	437	438	437
Fri Feb 26 15:57:44 2021	1614355064	1	457	458	457
Fri Feb 26 15:57:44 2021	1614355064	1	466	467	466
Fri Feb 26 15:57:44 2021	1614355064	1	473	474	473
Fri Feb 26 15:57:44 2021	1614355064	1	489	490	489
