Percentage served,Time in ms
0,124.896
1,124.896
2,130.615
3,130.615
4,130.615
5,130.615
6,152.910
7,152.910
8,152.910
9,152.910
10,162.577
11,162.577
12,162.577
13,162.577
14,185.582
15,185.582
16,185.582
17,185.582
18,186.904
19,186.904
20,186.904
21,186.904
22,191.467
23,191.467
24,191.467
25,191.467
26,223.691
27,223.691
28,223.691
29,223.691
30,236.555
31,236.555
32,236.555
33,236.555
34,241.458
35,241.458
36,241.458
37,241.458
38,278.706
39,278.706
40,278.706
41,278.706
42,294.639
43,294.639
44,294.639
45,294.639
46,299.530
47,299.530
48,299.530
49,299.530
50,315.547
51,315.547
52,315.547
53,315.547
54,339.395
55,339.395
56,339.395
57,339.395
58,341.007
59,341.007
60,341.007
61,341.007
62,344.167
63,344.167
64,344.167
65,344.167
66,370.028
67,370.028
68,370.028
69,370.028
70,403.425
71,403.425
72,403.425
73,403.425
74,409.387
75,409.387
76,409.387
77,409.387
78,437.974
79,437.974
80,437.974
81,437.974
82,457.537
83,457.537
84,457.537
85,457.537
86,467.451
87,467.451
88,467.451
89,467.451
90,474.223
91,474.223
92,474.223
93,474.223
94,490.240
95,490.240
96,490.240
97,490.240
98,3636145909050257.500
99,3636145909050257.500
100,490.240
