starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:17:30 2021	1614352650	13	284	297	284
Fri Feb 26 15:17:30 2021	1614352650	13	290	302	290
Fri Feb 26 15:17:30 2021	1614352650	13	336	349	336
Fri Feb 26 15:17:30 2021	1614352650	13	346	358	337
Fri Feb 26 15:17:30 2021	1614352650	13	354	366	334
Fri Feb 26 15:17:30 2021	1614352650	13	589	602	589
Fri Feb 26 15:17:30 2021	1614352650	13	592	605	592
Fri Feb 26 15:17:30 2021	1614352650	13	607	620	607
Fri Feb 26 15:17:30 2021	1614352650	13	620	633	620
Fri Feb 26 15:17:30 2021	1614352650	13	629	642	629
Fri Feb 26 15:17:30 2021	1614352650	2	768	770	768
Fri Feb 26 15:17:30 2021	1614352650	2	771	772	770
Fri Feb 26 15:17:30 2021	1614352650	0	775	775	775
Fri Feb 26 15:17:30 2021	1614352650	2	786	788	786
Fri Feb 26 15:17:30 2021	1614352650	1	827	827	827
Fri Feb 26 15:17:30 2021	1614352650	0	923	924	923
Fri Feb 26 15:17:30 2021	1614352650	0	924	924	924
Fri Feb 26 15:17:30 2021	1614352650	0	927	927	927
Fri Feb 26 15:17:30 2021	1614352650	0	929	929	928
Fri Feb 26 15:17:30 2021	1614352650	0	993	993	993
Fri Feb 26 15:17:30 2021	1614352650	0	1072	1073	1070
Fri Feb 26 15:17:30 2021	1614352650	3	1083	1086	1083
Fri Feb 26 15:17:30 2021	1614352650	3	1085	1087	1085
Fri Feb 26 15:17:30 2021	1614352650	3	1094	1097	1093
Fri Feb 26 15:17:30 2021	1614352650	3	1154	1157	1149
Fri Feb 26 15:17:30 2021	1614352650	3	1224	1227	1224
Fri Feb 26 15:17:30 2021	1614352650	3	1224	1227	1224
Fri Feb 26 15:17:30 2021	1614352650	3	1236	1239	1236
Fri Feb 26 15:17:30 2021	1614352650	3	1245	1247	1245
Fri Feb 26 15:17:30 2021	1614352650	3	1255	1258	1255
