Percentage served,Time in ms
0,296.822
1,296.822
2,302.490
3,302.490
4,302.490
5,348.895
6,348.895
7,348.895
8,348.895
9,358.318
10,358.318
11,358.318
12,366.371
13,366.371
14,366.371
15,602.047
16,602.047
17,602.047
18,602.047
19,604.525
20,604.525
21,604.525
22,619.960
23,619.960
24,619.960
25,633.237
26,633.237
27,633.237
28,633.237
29,641.903
30,641.903
31,641.903
32,769.839
33,769.839
34,769.839
35,772.411
36,772.411
37,772.411
38,772.411
39,775.143
40,775.143
41,775.143
42,787.989
43,787.989
44,787.989
45,827.154
46,827.154
47,827.154
48,827.154
49,923.903
50,923.903
51,923.903
52,924.376
53,924.376
54,924.376
55,927.342
56,927.342
57,927.342
58,927.342
59,928.956
60,928.956
61,928.956
62,993.409
63,993.409
64,993.409
65,1072.856
66,1072.856
67,1072.856
68,1072.856
69,1086.186
70,1086.186
71,1086.186
72,1087.494
73,1087.494
74,1087.494
75,1097.162
76,1097.162
77,1097.162
78,1097.162
79,1156.909
80,1156.909
81,1156.909
82,1226.555
83,1226.555
84,1226.555
85,1226.594
86,1226.594
87,1226.594
88,1226.594
89,1238.876
90,1238.876
91,1238.876
92,1247.398
93,1247.398
94,1247.398
95,1258.115
96,1258.115
97,1258.115
98,1258.115
99,3636145909050257.500
100,1258.115
