starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:45:19 2021	1614354319	1	242	243	242
Fri Feb 26 15:45:19 2021	1614354319	1	257	258	257
Fri Feb 26 15:45:19 2021	1614354319	1	298	298	297
Fri Feb 26 15:45:19 2021	1614354319	1	312	313	312
Fri Feb 26 15:45:19 2021	1614354319	1	326	326	326
Fri Feb 26 15:45:19 2021	1614354319	1	447	447	447
Fri Feb 26 15:45:19 2021	1614354319	1	468	468	468
Fri Feb 26 15:45:19 2021	1614354319	1	488	488	488
Fri Feb 26 15:45:19 2021	1614354319	1	510	511	510
Fri Feb 26 15:45:19 2021	1614354319	1	514	515	514
Fri Feb 26 15:45:19 2021	1614354319	1	646	647	646
Fri Feb 26 15:45:19 2021	1614354319	0	672	672	672
Fri Feb 26 15:45:19 2021	1614354319	0	733	733	733
Fri Feb 26 15:45:19 2021	1614354319	0	747	747	747
Fri Feb 26 15:45:19 2021	1614354319	0	759	760	759
Fri Feb 26 15:45:19 2021	1614354319	0	830	830	830
Fri Feb 26 15:45:19 2021	1614354319	0	846	847	846
Fri Feb 26 15:45:19 2021	1614354319	0	902	903	902
Fri Feb 26 15:45:19 2021	1614354319	0	937	937	937
Fri Feb 26 15:45:19 2021	1614354319	0	944	945	944
Fri Feb 26 15:45:19 2021	1614354319	0	991	992	991
Fri Feb 26 15:45:19 2021	1614354319	0	1035	1035	1035
Fri Feb 26 15:45:19 2021	1614354319	0	1054	1055	1054
Fri Feb 26 15:45:19 2021	1614354319	0	1065	1065	1065
Fri Feb 26 15:45:19 2021	1614354319	0	1073	1074	1073
