Percentage served,Time in ms
0,243.130
1,243.130
2,257.647
3,257.647
4,257.647
5,257.647
6,298.309
7,298.309
8,298.309
9,298.309
10,312.986
11,312.986
12,312.986
13,312.986
14,326.476
15,326.476
16,326.476
17,326.476
18,447.350
19,447.350
20,447.350
21,447.350
22,468.391
23,468.391
24,468.391
25,468.391
26,488.491
27,488.491
28,488.491
29,488.491
30,510.609
31,510.609
32,510.609
33,510.609
34,514.642
35,514.642
36,514.642
37,514.642
38,647.116
39,647.116
40,647.116
41,647.116
42,672.121
43,672.121
44,672.121
45,672.121
46,733.405
47,733.405
48,733.405
49,733.405
50,747.339
51,747.339
52,747.339
53,747.339
54,759.664
55,759.664
56,759.664
57,759.664
58,830.041
59,830.041
60,830.041
61,830.041
62,846.845
63,846.845
64,846.845
65,846.845
66,902.727
67,902.727
68,902.727
69,902.727
70,937.260
71,937.260
72,937.260
73,937.260
74,944.708
75,944.708
76,944.708
77,944.708
78,991.684
79,991.684
80,991.684
81,991.684
82,1035.459
83,1035.459
84,1035.459
85,1035.459
86,1054.773
87,1054.773
88,1054.773
89,1054.773
90,1065.022
91,1065.022
92,1065.022
93,1065.022
94,1073.715
95,1073.715
96,1073.715
97,1073.715
98,3636145909050257.500
99,3636145909050257.500
100,1073.715
