starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:39 2021	1614355059	8	132	140	132
Fri Feb 26 15:57:39 2021	1614355059	8	132	140	132
Fri Feb 26 15:57:39 2021	1614355059	8	140	148	140
Fri Feb 26 15:57:39 2021	1614355059	8	146	154	146
Fri Feb 26 15:57:39 2021	1614355059	8	177	185	177
Fri Feb 26 15:57:39 2021	1614355059	8	191	199	191
Fri Feb 26 15:57:39 2021	1614355059	8	191	199	191
Fri Feb 26 15:57:39 2021	1614355059	8	192	200	192
Fri Feb 26 15:57:39 2021	1614355059	8	195	203	195
Fri Feb 26 15:57:39 2021	1614355059	8	215	223	215
Fri Feb 26 15:57:39 2021	1614355059	8	292	300	292
Fri Feb 26 15:57:39 2021	1614355059	8	307	315	307
Fri Feb 26 15:57:39 2021	1614355059	8	312	320	312
Fri Feb 26 15:57:39 2021	1614355059	8	321	329	321
Fri Feb 26 15:57:39 2021	1614355059	8	341	349	341
Fri Feb 26 15:57:39 2021	1614355059	8	345	352	345
Fri Feb 26 15:57:39 2021	1614355059	8	348	356	348
Fri Feb 26 15:57:39 2021	1614355059	8	357	365	357
Fri Feb 26 15:57:39 2021	1614355059	8	371	379	371
Fri Feb 26 15:57:39 2021	1614355059	8	374	382	374
Fri Feb 26 15:57:39 2021	1614355059	8	398	406	398
Fri Feb 26 15:57:39 2021	1614355059	8	398	406	398
Fri Feb 26 15:57:39 2021	1614355059	8	423	431	423
Fri Feb 26 15:57:39 2021	1614355059	8	439	447	439
Fri Feb 26 15:57:39 2021	1614355059	8	449	457	449
