starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:42:48 2021	1614354168	1	164	165	164
Fri Feb 26 15:42:48 2021	1614354168	1	172	173	172
Fri Feb 26 15:42:48 2021	1614354168	1	239	241	239
Fri Feb 26 15:42:48 2021	1614354168	1	245	246	245
Fri Feb 26 15:42:48 2021	1614354168	1	248	250	248
Fri Feb 26 15:42:48 2021	1614354168	1	353	354	353
Fri Feb 26 15:42:48 2021	1614354168	1	354	355	354
Fri Feb 26 15:42:48 2021	1614354168	1	375	376	375
Fri Feb 26 15:42:48 2021	1614354168	1	385	386	385
Fri Feb 26 15:42:48 2021	1614354168	1	403	404	403
Fri Feb 26 15:42:48 2021	1614354168	1	410	412	410
Fri Feb 26 15:42:48 2021	1614354168	1	425	426	425
Fri Feb 26 15:42:48 2021	1614354168	1	439	440	439
Fri Feb 26 15:42:48 2021	1614354168	1	451	452	451
Fri Feb 26 15:42:48 2021	1614354168	1	452	453	452
Fri Feb 26 15:42:48 2021	1614354168	1	508	510	508
Fri Feb 26 15:42:48 2021	1614354168	1	510	511	510
Fri Feb 26 15:42:48 2021	1614354168	1	515	516	515
Fri Feb 26 15:42:48 2021	1614354168	1	561	563	561
Fri Feb 26 15:42:48 2021	1614354168	1	582	584	582
Fri Feb 26 15:42:48 2021	1614354168	1	583	584	583
Fri Feb 26 15:42:48 2021	1614354168	1	584	585	584
Fri Feb 26 15:42:48 2021	1614354168	1	593	594	593
Fri Feb 26 15:42:48 2021	1614354168	1	638	639	638
Fri Feb 26 15:42:48 2021	1614354168	1	652	653	652
