starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 14:58:48 2021	1614351528	1	215	216	215
Fri Feb 26 14:58:48 2021	1614351528	1	237	237	237
Fri Feb 26 14:58:48 2021	1614351528	1	242	243	242
Fri Feb 26 14:58:48 2021	1614351528	1	269	269	268
Fri Feb 26 14:58:48 2021	1614351528	1	269	270	269
Fri Feb 26 14:58:48 2021	1614351528	1	364	365	364
Fri Feb 26 14:58:48 2021	1614351528	1	370	370	370
Fri Feb 26 14:58:48 2021	1614351528	1	384	385	384
Fri Feb 26 14:58:48 2021	1614351528	1	429	429	429
Fri Feb 26 14:58:48 2021	1614351528	1	443	444	443
Fri Feb 26 14:58:48 2021	1614351528	1	494	495	494
Fri Feb 26 14:58:48 2021	1614351528	1	544	544	544
Fri Feb 26 14:58:48 2021	1614351528	1	563	564	563
Fri Feb 26 14:58:48 2021	1614351528	1	584	584	583
Fri Feb 26 14:58:48 2021	1614351528	1	610	611	609
Fri Feb 26 14:58:48 2021	1614351528	1	622	623	618
Fri Feb 26 14:58:48 2021	1614351528	1	696	697	696
Fri Feb 26 14:58:48 2021	1614351528	1	713	714	713
Fri Feb 26 14:58:48 2021	1614351528	1	752	753	752
Fri Feb 26 14:58:48 2021	1614351528	1	772	773	772
Fri Feb 26 14:58:48 2021	1614351528	1	795	796	795
Fri Feb 26 14:58:48 2021	1614351528	1	832	833	832
Fri Feb 26 14:58:48 2021	1614351528	1	856	857	856
Fri Feb 26 14:58:48 2021	1614351528	1	861	862	861
Fri Feb 26 14:58:48 2021	1614351528	1	874	874	874
