Percentage served,Time in ms
0,136.739
1,136.739
2,139.002
3,139.002
4,139.002
5,139.002
6,182.611
7,182.611
8,182.611
9,182.611
10,187.067
11,187.067
12,187.067
13,187.067
14,217.482
15,217.482
16,217.482
17,217.482
18,286.428
19,286.428
20,286.428
21,286.428
22,289.855
23,289.855
24,289.855
25,289.855
26,322.618
27,322.618
28,322.618
29,322.618
30,328.589
31,328.589
32,328.589
33,328.589
34,375.687
35,375.687
36,375.687
37,375.687
38,385.094
39,385.094
40,385.094
41,385.094
42,388.899
43,388.899
44,388.899
45,388.899
46,392.920
47,392.920
48,392.920
49,392.920
50,398.029
51,398.029
52,398.029
53,398.029
54,463.868
55,463.868
56,463.868
57,463.868
58,497.893
59,497.893
60,497.893
61,497.893
62,506.988
63,506.988
64,506.988
65,506.988
66,558.185
67,558.185
68,558.185
69,558.185
70,585.749
71,585.749
72,585.749
73,585.749
74,616.578
75,616.578
76,616.578
77,616.578
78,621.109
79,621.109
80,621.109
81,621.109
82,655.252
83,655.252
84,655.252
85,655.252
86,712.556
87,712.556
88,712.556
89,712.556
90,739.649
91,739.649
92,739.649
93,739.649
94,754.020
95,754.020
96,754.020
97,754.020
98,3636145909050257.500
99,3636145909050257.500
100,754.020
