starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:44:05 2021	1614354245	1	136	137	136
Fri Feb 26 15:44:05 2021	1614354245	1	138	139	138
Fri Feb 26 15:44:05 2021	1614354245	1	182	183	182
Fri Feb 26 15:44:05 2021	1614354245	1	186	187	186
Fri Feb 26 15:44:05 2021	1614354245	1	217	217	217
Fri Feb 26 15:44:05 2021	1614354245	1	286	286	286
Fri Feb 26 15:44:05 2021	1614354245	1	289	290	289
Fri Feb 26 15:44:05 2021	1614354245	1	322	323	322
Fri Feb 26 15:44:05 2021	1614354245	1	328	329	328
Fri Feb 26 15:44:05 2021	1614354245	1	375	376	375
Fri Feb 26 15:44:05 2021	1614354245	1	385	385	384
Fri Feb 26 15:44:05 2021	1614354245	0	388	389	388
Fri Feb 26 15:44:05 2021	1614354245	1	392	393	392
Fri Feb 26 15:44:05 2021	1614354245	0	398	398	398
Fri Feb 26 15:44:05 2021	1614354245	1	463	464	463
Fri Feb 26 15:44:05 2021	1614354245	0	497	498	497
Fri Feb 26 15:44:05 2021	1614354245	0	507	507	506
Fri Feb 26 15:44:05 2021	1614354245	0	558	558	558
Fri Feb 26 15:44:05 2021	1614354245	1	585	586	585
Fri Feb 26 15:44:05 2021	1614354245	1	616	617	616
Fri Feb 26 15:44:05 2021	1614354245	0	621	621	620
Fri Feb 26 15:44:05 2021	1614354245	0	655	655	655
Fri Feb 26 15:44:05 2021	1614354245	0	712	713	712
Fri Feb 26 15:44:05 2021	1614354245	0	739	740	739
Fri Feb 26 15:44:05 2021	1614354245	0	754	754	754
