starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:45 2021	1614355065	1	121	123	121
Fri Feb 26 15:57:45 2021	1614355065	1	127	128	126
Fri Feb 26 15:57:45 2021	1614355065	1	173	175	173
Fri Feb 26 15:57:45 2021	1614355065	2	184	185	184
Fri Feb 26 15:57:45 2021	1614355065	1	190	191	190
Fri Feb 26 15:57:45 2021	1614355065	2	206	207	205
Fri Feb 26 15:57:45 2021	1614355065	1	232	234	232
Fri Feb 26 15:57:45 2021	1614355065	2	236	238	236
Fri Feb 26 15:57:45 2021	1614355065	1	259	260	258
Fri Feb 26 15:57:45 2021	1614355065	1	293	295	293
Fri Feb 26 15:57:45 2021	1614355065	1	295	297	295
Fri Feb 26 15:57:45 2021	1614355065	1	296	297	296
Fri Feb 26 15:57:45 2021	1614355065	1	358	359	358
Fri Feb 26 15:57:45 2021	1614355065	1	360	362	360
Fri Feb 26 15:57:45 2021	1614355065	1	377	378	377
Fri Feb 26 15:57:45 2021	1614355065	1	407	409	407
Fri Feb 26 15:57:45 2021	1614355065	1	409	410	409
Fri Feb 26 15:57:45 2021	1614355065	1	516	517	516
Fri Feb 26 15:57:45 2021	1614355065	1	533	534	533
Fri Feb 26 15:57:45 2021	1614355065	1	584	585	584
Fri Feb 26 15:57:45 2021	1614355065	1	644	646	644
Fri Feb 26 15:57:45 2021	1614355065	1	772	774	772
Fri Feb 26 15:57:45 2021	1614355065	1	784	786	784
Fri Feb 26 15:57:45 2021	1614355065	1	820	822	820
Fri Feb 26 15:57:45 2021	1614355065	1	821	823	821
