starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:47:59 2021	1614354479	1	273	274	273
Fri Feb 26 15:47:59 2021	1614354479	1	285	286	285
Fri Feb 26 15:47:59 2021	1614354479	1	301	302	301
Fri Feb 26 15:47:59 2021	1614354479	1	305	306	305
Fri Feb 26 15:47:59 2021	1614354479	1	308	309	308
Fri Feb 26 15:47:59 2021	1614354479	1	326	327	326
Fri Feb 26 15:47:59 2021	1614354479	1	355	356	355
Fri Feb 26 15:47:59 2021	1614354479	1	367	368	367
Fri Feb 26 15:47:59 2021	1614354479	1	370	371	370
Fri Feb 26 15:47:59 2021	1614354479	1	410	411	409
Fri Feb 26 15:47:59 2021	1614354479	1	536	537	536
Fri Feb 26 15:47:59 2021	1614354479	1	549	550	548
Fri Feb 26 15:47:59 2021	1614354479	1	553	554	553
Fri Feb 26 15:47:59 2021	1614354479	1	553	554	553
Fri Feb 26 15:47:59 2021	1614354479	1	554	555	554
Fri Feb 26 15:47:59 2021	1614354479	1	556	557	556
Fri Feb 26 15:47:59 2021	1614354479	1	556	557	556
Fri Feb 26 15:47:59 2021	1614354479	1	559	560	559
Fri Feb 26 15:47:59 2021	1614354479	1	562	563	562
Fri Feb 26 15:47:59 2021	1614354479	1	620	621	611
Fri Feb 26 15:47:59 2021	1614354479	1	631	632	631
Fri Feb 26 15:47:59 2021	1614354479	1	654	655	654
Fri Feb 26 15:47:59 2021	1614354479	1	665	666	665
Fri Feb 26 15:47:59 2021	1614354479	1	683	685	683
Fri Feb 26 15:47:59 2021	1614354479	1	687	688	687
