Percentage served,Time in ms
0,128.543
1,128.543
2,132.458
3,132.458
4,132.458
5,132.458
6,177.361
7,177.361
8,177.361
9,177.361
10,180.766
11,180.766
12,180.766
13,180.766
14,188.439
15,188.439
16,188.439
17,188.439
18,194.862
19,194.862
20,194.862
21,194.862
22,210.490
23,210.490
24,210.490
25,210.490
26,249.070
27,249.070
28,249.070
29,249.070
30,256.648
31,256.648
32,256.648
33,256.648
34,279.066
35,279.066
36,279.066
37,279.066
38,289.426
39,289.426
40,289.426
41,289.426
42,292.257
43,292.257
44,292.257
45,292.257
46,321.299
47,321.299
48,321.299
49,321.299
50,333.119
51,333.119
52,333.119
53,333.119
54,345.008
55,345.008
56,345.008
57,345.008
58,383.138
59,383.138
60,383.138
61,383.138
62,406.330
63,406.330
64,406.330
65,406.330
66,416.422
67,416.422
68,416.422
69,416.422
70,419.063
71,419.063
72,419.063
73,419.063
74,441.114
75,441.114
76,441.114
77,441.114
78,450.168
79,450.168
80,450.168
81,450.168
82,502.323
83,502.323
84,502.323
85,502.323
86,538.843
87,538.843
88,538.843
89,538.843
90,563.286
91,563.286
92,563.286
93,563.286
94,584.218
95,584.218
96,584.218
97,584.218
98,3636145909050257.500
99,3636145909050257.500
100,584.218
