starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:41 2021	1614355061	1	128	129	127
Fri Feb 26 15:57:41 2021	1614355061	1	131	132	131
Fri Feb 26 15:57:41 2021	1614355061	1	176	177	176
Fri Feb 26 15:57:41 2021	1614355061	1	180	181	180
Fri Feb 26 15:57:41 2021	1614355061	1	187	188	187
Fri Feb 26 15:57:41 2021	1614355061	1	194	195	194
Fri Feb 26 15:57:41 2021	1614355061	1	209	210	209
Fri Feb 26 15:57:41 2021	1614355061	1	248	249	248
Fri Feb 26 15:57:41 2021	1614355061	1	256	257	256
Fri Feb 26 15:57:41 2021	1614355061	1	278	279	278
Fri Feb 26 15:57:41 2021	1614355061	1	288	289	288
Fri Feb 26 15:57:41 2021	1614355061	1	291	292	291
Fri Feb 26 15:57:41 2021	1614355061	1	320	321	320
Fri Feb 26 15:57:41 2021	1614355061	1	332	333	332
Fri Feb 26 15:57:41 2021	1614355061	1	344	345	344
Fri Feb 26 15:57:41 2021	1614355061	1	382	383	382
Fri Feb 26 15:57:41 2021	1614355061	1	405	406	405
Fri Feb 26 15:57:41 2021	1614355061	1	415	416	415
Fri Feb 26 15:57:41 2021	1614355061	1	418	419	418
Fri Feb 26 15:57:41 2021	1614355061	1	440	441	440
Fri Feb 26 15:57:41 2021	1614355061	1	449	450	449
Fri Feb 26 15:57:41 2021	1614355061	1	501	502	501
Fri Feb 26 15:57:41 2021	1614355061	1	538	539	538
Fri Feb 26 15:57:41 2021	1614355061	1	562	563	562
Fri Feb 26 15:57:41 2021	1614355061	1	583	584	583
