starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:50:04 2021	1614354604	1	253	254	253
Fri Feb 26 15:50:04 2021	1614354604	1	302	303	302
Fri Feb 26 15:50:04 2021	1614354604	1	305	306	305
Fri Feb 26 15:50:04 2021	1614354604	1	308	309	308
Fri Feb 26 15:50:04 2021	1614354604	1	321	322	321
Fri Feb 26 15:50:04 2021	1614354604	1	335	336	335
Fri Feb 26 15:50:04 2021	1614354604	1	337	338	337
Fri Feb 26 15:50:04 2021	1614354604	1	343	344	343
Fri Feb 26 15:50:04 2021	1614354604	1	347	348	347
Fri Feb 26 15:50:04 2021	1614354604	1	353	354	353
Fri Feb 26 15:50:04 2021	1614354604	1	589	590	589
Fri Feb 26 15:50:04 2021	1614354604	1	617	618	617
Fri Feb 26 15:50:04 2021	1614354604	1	637	638	637
Fri Feb 26 15:50:04 2021	1614354604	1	644	645	644
Fri Feb 26 15:50:04 2021	1614354604	1	648	649	647
Fri Feb 26 15:50:04 2021	1614354604	1	664	665	664
Fri Feb 26 15:50:04 2021	1614354604	1	679	680	679
Fri Feb 26 15:50:04 2021	1614354604	1	680	681	680
Fri Feb 26 15:50:04 2021	1614354604	1	690	691	690
Fri Feb 26 15:50:04 2021	1614354604	1	719	720	719
Fri Feb 26 15:50:04 2021	1614354604	1	721	722	721
Fri Feb 26 15:50:04 2021	1614354604	1	723	724	723
Fri Feb 26 15:50:04 2021	1614354604	1	795	796	795
Fri Feb 26 15:50:04 2021	1614354604	1	801	802	801
Fri Feb 26 15:50:04 2021	1614354604	1	817	818	817
