Percentage served,Time in ms
0,253.648
1,253.648
2,303.429
3,303.429
4,303.429
5,303.429
6,305.650
7,305.650
8,305.650
9,305.650
10,308.840
11,308.840
12,308.840
13,308.840
14,322.317
15,322.317
16,322.317
17,322.317
18,336.295
19,336.295
20,336.295
21,336.295
22,338.099
23,338.099
24,338.099
25,338.099
26,344.141
27,344.141
28,344.141
29,344.141
30,348.251
31,348.251
32,348.251
33,348.251
34,354.287
35,354.287
36,354.287
37,354.287
38,590.033
39,590.033
40,590.033
41,590.033
42,618.160
43,618.160
44,618.160
45,618.160
46,638.191
47,638.191
48,638.191
49,638.191
50,645.126
51,645.126
52,645.126
53,645.126
54,648.535
55,648.535
56,648.535
57,648.535
58,664.731
59,664.731
60,664.731
61,664.731
62,679.623
63,679.623
64,679.623
65,679.623
66,680.772
67,680.772
68,680.772
69,680.772
70,690.632
71,690.632
72,690.632
73,690.632
74,719.985
75,719.985
76,719.985
77,719.985
78,722.440
79,722.440
80,722.440
81,722.440
82,724.175
83,724.175
84,724.175
85,724.175
86,795.923
87,795.923
88,795.923
89,795.923
90,802.136
91,802.136
92,802.136
93,802.136
94,817.943
95,817.943
96,817.943
97,817.943
98,3636145909050257.500
99,3636145909050257.500
100,817.943
