starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:37 2021	1614355057	0	193	193	193
Fri Feb 26 15:57:37 2021	1614355057	1	196	197	196
Fri Feb 26 15:57:37 2021	1614355057	0	197	197	197
Fri Feb 26 15:57:37 2021	1614355057	0	222	223	222
Fri Feb 26 15:57:37 2021	1614355057	0	255	255	255
Fri Feb 26 15:57:37 2021	1614355057	1	260	260	260
Fri Feb 26 15:57:37 2021	1614355057	0	274	275	274
Fri Feb 26 15:57:37 2021	1614355057	0	284	285	284
Fri Feb 26 15:57:37 2021	1614355057	0	310	311	310
Fri Feb 26 15:57:37 2021	1614355057	0	339	340	339
Fri Feb 26 15:57:37 2021	1614355057	0	360	360	360
Fri Feb 26 15:57:37 2021	1614355057	0	380	381	380
Fri Feb 26 15:57:37 2021	1614355057	0	410	410	410
Fri Feb 26 15:57:37 2021	1614355057	0	417	418	417
Fri Feb 26 15:57:37 2021	1614355057	0	435	435	435
Fri Feb 26 15:57:37 2021	1614355057	0	478	479	478
Fri Feb 26 15:57:37 2021	1614355057	0	485	485	485
Fri Feb 26 15:57:37 2021	1614355057	0	487	487	487
Fri Feb 26 15:57:37 2021	1614355057	0	493	493	493
Fri Feb 26 15:57:37 2021	1614355057	0	512	512	512
Fri Feb 26 15:57:37 2021	1614355057	0	517	517	517
Fri Feb 26 15:57:37 2021	1614355057	0	517	517	517
Fri Feb 26 15:57:37 2021	1614355057	0	533	533	532
Fri Feb 26 15:57:37 2021	1614355057	0	597	597	597
Fri Feb 26 15:57:37 2021	1614355057	0	602	602	602
