Percentage served,Time in ms
0,193.442
1,193.442
2,196.591
3,196.591
4,196.591
5,196.591
6,197.438
7,197.438
8,197.438
9,197.438
10,222.617
11,222.617
12,222.617
13,222.617
14,255.347
15,255.347
16,255.347
17,255.347
18,260.361
19,260.361
20,260.361
21,260.361
22,274.814
23,274.814
24,274.814
25,274.814
26,284.822
27,284.822
28,284.822
29,284.822
30,310.754
31,310.754
32,310.754
33,310.754
34,339.819
35,339.819
36,339.819
37,339.819
38,360.294
39,360.294
40,360.294
41,360.294
42,380.789
43,380.789
44,380.789
45,380.789
46,410.385
47,410.385
48,410.385
49,410.385
50,417.541
51,417.541
52,417.541
53,417.541
54,435.170
55,435.170
56,435.170
57,435.170
58,478.759
59,478.759
60,478.759
61,478.759
62,485.114
63,485.114
64,485.114
65,485.114
66,487.463
67,487.463
68,487.463
69,487.463
70,492.852
71,492.852
72,492.852
73,492.852
74,512.469
75,512.469
76,512.469
77,512.469
78,517.306
79,517.306
80,517.306
81,517.306
82,517.372
83,517.372
84,517.372
85,517.372
86,532.846
87,532.846
88,532.846
89,532.846
90,597.207
91,597.207
92,597.207
93,597.207
94,602.263
95,602.263
96,602.263
97,602.263
98,3636145909050257.500
99,3636145909050257.500
100,602.263
