starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:41:23 2021	1614354083	1	213	214	213
Fri Feb 26 15:41:23 2021	1614354083	1	242	243	242
Fri Feb 26 15:41:23 2021	1614354083	1	285	286	285
Fri Feb 26 15:41:23 2021	1614354083	1	289	290	286
Fri Feb 26 15:41:23 2021	1614354083	1	312	313	312
Fri Feb 26 15:41:23 2021	1614354083	1	419	420	419
Fri Feb 26 15:41:23 2021	1614354083	1	430	430	430
Fri Feb 26 15:41:23 2021	1614354083	1	467	468	467
Fri Feb 26 15:41:23 2021	1614354083	1	495	495	494
Fri Feb 26 15:41:23 2021	1614354083	1	512	512	512
Fri Feb 26 15:41:23 2021	1614354083	1	608	609	608
Fri Feb 26 15:41:23 2021	1614354083	1	639	640	639
Fri Feb 26 15:41:23 2021	1614354083	1	641	641	641
Fri Feb 26 15:41:23 2021	1614354083	1	666	666	666
Fri Feb 26 15:41:23 2021	1614354083	1	674	674	674
Fri Feb 26 15:41:23 2021	1614354083	0	770	771	770
Fri Feb 26 15:41:23 2021	1614354083	0	787	788	787
Fri Feb 26 15:41:23 2021	1614354083	0	820	820	820
Fri Feb 26 15:41:23 2021	1614354083	0	849	849	849
Fri Feb 26 15:41:23 2021	1614354083	1	856	856	855
Fri Feb 26 15:41:23 2021	1614354083	1	951	951	951
Fri Feb 26 15:41:23 2021	1614354083	1	951	952	951
Fri Feb 26 15:41:23 2021	1614354083	1	963	963	963
Fri Feb 26 15:41:23 2021	1614354083	0	984	984	984
Fri Feb 26 15:41:23 2021	1614354083	1	987	987	987
