Percentage served,Time in ms
0,134.873
1,134.873
2,141.839
3,141.839
4,141.839
5,141.839
6,162.374
7,162.374
8,162.374
9,162.374
10,179.834
11,179.834
12,179.834
13,179.834
14,196.689
15,196.689
16,196.689
17,196.689
18,203.603
19,203.603
20,203.603
21,203.603
22,203.851
23,203.851
24,203.851
25,203.851
26,257.276
27,257.276
28,257.276
29,257.276
30,291.643
31,291.643
32,291.643
33,291.643
34,305.704
35,305.704
36,305.704
37,305.704
38,324.470
39,324.470
40,324.470
41,324.470
42,329.311
43,329.311
44,329.311
45,329.311
46,339.186
47,339.186
48,339.186
49,339.186
50,367.515
51,367.515
52,367.515
53,367.515
54,368.483
55,368.483
56,368.483
57,368.483
58,421.092
59,421.092
60,421.092
61,421.092
62,436.607
63,436.607
64,436.607
65,436.607
66,438.300
67,438.300
68,438.300
69,438.300
70,478.422
71,478.422
72,478.422
73,478.422
74,558.324
75,558.324
76,558.324
77,558.324
78,572.340
79,572.340
80,572.340
81,572.340
82,594.185
83,594.185
84,594.185
85,594.185
86,604.039
87,604.039
88,604.039
89,604.039
90,679.980
91,679.980
92,679.980
93,679.980
94,694.283
95,694.283
96,694.283
97,694.283
98,3636145909050257.500
99,3636145909050257.500
100,694.283
