starttime	seconds	ctime	dtime	ttime	wait
Fri Feb 26 15:57:40 2021	1614355060	1	134	135	134
Fri Feb 26 15:57:40 2021	1614355060	1	141	142	141
Fri Feb 26 15:57:40 2021	1614355060	1	161	162	161
Fri Feb 26 15:57:40 2021	1614355060	1	179	180	179
Fri Feb 26 15:57:40 2021	1614355060	1	196	197	196
Fri Feb 26 15:57:40 2021	1614355060	1	203	204	203
Fri Feb 26 15:57:40 2021	1614355060	1	203	204	203
Fri Feb 26 15:57:40 2021	1614355060	1	256	257	256
Fri Feb 26 15:57:40 2021	1614355060	1	291	292	291
Fri Feb 26 15:57:40 2021	1614355060	1	305	306	305
Fri Feb 26 15:57:40 2021	1614355060	1	323	324	323
Fri Feb 26 15:57:40 2021	1614355060	1	328	329	328
Fri Feb 26 15:57:40 2021	1614355060	1	338	339	338
Fri Feb 26 15:57:40 2021	1614355060	1	367	368	366
Fri Feb 26 15:57:40 2021	1614355060	1	368	368	367
Fri Feb 26 15:57:40 2021	1614355060	1	420	421	420
Fri Feb 26 15:57:40 2021	1614355060	1	436	437	436
Fri Feb 26 15:57:40 2021	1614355060	1	437	438	437
Fri Feb 26 15:57:40 2021	1614355060	1	477	478	477
Fri Feb 26 15:57:40 2021	1614355060	1	557	558	557
Fri Feb 26 15:57:40 2021	1614355060	1	571	572	571
Fri Feb 26 15:57:40 2021	1614355060	1	593	594	593
Fri Feb 26 15:57:40 2021	1614355060	1	603	604	603
Fri Feb 26 15:57:40 2021	1614355060	1	679	680	679
Fri Feb 26 15:57:40 2021	1614355060	1	693	694	693
